Study Status,Study Results,Interventions,Sex,Age,Phases,Enrollment,Funder Type,Study Design,Start Date,Completion Date
RECRUITING,NO,DRUG: Fenofibrate|OTHER: Placebo|DRUG: Doxorubicin|DRUG: Cyclophosphamide,FEMALE,"ADULT, OLDER_ADULT",PHASE4,44,OTHER,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: PREVENTION",2023-12,2025-12
SUSPENDED,NO,BIOLOGICAL: chimeric antigen receptor (CAR) T cell therapy,ALL,"ADULT, OLDER_ADULT",PHASE1,220,INDUSTRY,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2020-12-07,2027-01-02
RECRUITING,NO,DIETARY_SUPPLEMENT: Nicotinamide Riboside|DIETARY_SUPPLEMENT: Placebo,FEMALE,"ADULT, OLDER_ADULT",PHASE2,60,OTHER,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: PREVENTION",2023-03-16,2035-09-30
TERMINATED,NO,DEVICE: TENS (transcutaneous electrical nerve stimulation)|DEVICE: TENS (transcutaneous electrical nerve stimulation) ECOMODYN,ALL,"ADULT, OLDER_ADULT",NA,5,OTHER,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,2022-01-05,2023-04-14
COMPLETED,NO,OTHER: Pecs block|OTHER: no Pecs block,FEMALE,"ADULT, OLDER_ADULT",NA,64,OTHER,"Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, OUTCOMES_ASSESSOR)|Primary Purpose: PREVENTION",2020-08-01,2022-03-31
UNKNOWN,NO,DRUG: Recombinant L-IFN adenovirus injection,ALL,"ADULT, OLDER_ADULT",EARLY_PHASE1,28,OTHER,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2021-11-30,2023-12-31
RECRUITING,NO,DRUG: DB-1303/BNT323|DRUG: Capecitabine|DRUG: Paclitaxel|DRUG: Nab-paclitaxel,ALL,"ADULT, OLDER_ADULT",PHASE3,532,INDUSTRY,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2024-01-18,2028-05
RECRUITING,NO,DRUG: Oral lenvatinib + Intravenous (IV) pembrolizumab + Oral letrozole,ALL,"ADULT, OLDER_ADULT",PHASE2,40,OTHER,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2023-02-15,2026-12-31
RECRUITING,NO,DIAGNOSTIC_TEST: 89Zr-DFO*-trastuzumab PET scan,ALL,"ADULT, OLDER_ADULT",PHASE1,6,OTHER,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: DIAGNOSTIC,2023-06-26,2024-04-30
TERMINATED,NO,DRUG: LYT-100 MAD|OTHER: Matching Placebo for MAD|DRUG: LYT-100 Food Effect|DRUG: LYT-100 BCRL|DRUG: Placebo BCRL|DRUG: Placebo Food Effect,ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,50,INDUSTRY,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR)|Primary Purpose: TREATMENT",2020-03-01,2022-09-09
ACTIVE_NOT_RECRUITING,NO,"COMBINATION_PRODUCT: Atezolizumab,Paclitaxel, Carboplatin",ALL,"ADULT, OLDER_ADULT",PHASE2,49,OTHER,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2020-07-03,2024-07-03
RECRUITING,NO,PROCEDURE: Axilla dissection + Lymphovenous anastomosis,FEMALE,"ADULT, OLDER_ADULT",NA,80,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: PREVENTION,2021-06-30,2025-12-27
ACTIVE_NOT_RECRUITING,NO,DRUG: Simvastatin 80mg,FEMALE,"ADULT, OLDER_ADULT",PHASE2,5,OTHER,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2020-03-04,2030-12
COMPLETED,NO,OTHER: Stage of Decision Making|OTHER: Choice framing|OTHER: Opportunity Framing,FEMALE,ADULT,NA,3000,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: HEALTH_SERVICES_RESEARCH,2022-06-22,2022-09-05
NOT_YET_RECRUITING,NO,PROCEDURE: Breast Surgery (BCS or mastectomy) with TAD/SNB|RADIATION: Adjuvant Radiation Therapy,FEMALE,"ADULT, OLDER_ADULT",PHASE2,45,OTHER,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2024-02-28,2031-01
UNKNOWN,NO,DRUG: INT230-6|OTHER: Saline injection,FEMALE,"CHILD, ADULT, OLDER_ADULT",PHASE2,90,OTHER,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2021-03-25,2023-03-01
RECRUITING,NO,BIOLOGICAL: EGFR/B7H3 CAR-T,ALL,"ADULT, OLDER_ADULT",EARLY_PHASE1,30,OTHER,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2022-05-01,2025-05-01
UNKNOWN,NO,"DRUG: Eribulin,cisplatin|DRUG: Gemcitabine,cisplatin",FEMALE,"ADULT, OLDER_ADULT",PHASE2,160,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2020-10-08,2022-10-31
ENROLLING_BY_INVITATION,NO,DRUG: Camrelizumab+Fluzoparib,FEMALE,"ADULT, OLDER_ADULT",PHASE2,94,OTHER,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2022-10-01,2026-12-31
UNKNOWN,NO,BEHAVIORAL: Education program on healthy habits,ALL,"ADULT, OLDER_ADULT",NA,58,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,2020-06,2021-11
RECRUITING,NO,DRUG: Drug determined by treating oncologist based on recommendation from systems biology analysis.,ALL,"ADULT, OLDER_ADULT",PHASE2,74,OTHER,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2021-08-08,2025-07
ACTIVE_NOT_RECRUITING,NO,DRUG: Erlotinib|DRUG: Trastuzumab|DRUG: Trastuzumab emtansine|DRUG: Pertuzumab|DRUG: Lapatinib|DRUG: Everolimus|DRUG: Vemurafenib|DRUG: Cobimetinib|DRUG: Alectinib|DRUG: Brigatinib|DRUG: Palbociclib|DRUG: Ponatinib|DRUG: Vismogedib|DRUG: Itacitinib|DRUG: Ipatasertib|DRUG: Entrectinib|DRUG: Atezolizumab|DRUG: Nivolumab|DRUG: Ipilimumab|DRUG: Pemigatinib|DRUG: Oncology Drugs|DRUG: Pralsetinib|DRUG: Selpercatinib|DRUG: Talazoparib|DRUG: Tepotinib|DRUG: Alpelisib,ALL,"ADULT, OLDER_ADULT",PHASE2,400,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2020-10-07,2025-06
RECRUITING,NO,PROCEDURE: Biospecimen Collection|PROCEDURE: Computed Tomography|PROCEDURE: Magnetic Resonance Imaging|PROCEDURE: Biospecimen Collection|BIOLOGICAL: Sacituzumab Govitecan,ALL,"ADULT, OLDER_ADULT",PHASE2,120,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2023-10-02,2028-10-01
NOT_YET_RECRUITING,NO,DEVICE: The RJBC-APP|OTHER: Routine post-surgical follow-up,FEMALE,"ADULT, OLDER_ADULT",NA,490,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: OTHER,2023-08-01,2026-08-01
RECRUITING,NO,DRUG: Neratinib|DRUG: Letrozole (L) or Anastrozole (A)|DRUG: Trastuzumab,ALL,"ADULT, OLDER_ADULT",PHASE2,48,OTHER,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2022-07-21,2024-02
ACTIVE_NOT_RECRUITING,NO,OTHER: Best Practice|OTHER: Informational Intervention|OTHER: Medical Device Usage and Evaluation|OTHER: Quality-of-Life Assessment|OTHER: Survey Administration,FEMALE,"ADULT, OLDER_ADULT",NA,33,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: HEALTH_SERVICES_RESEARCH,2021-10-22,2024-12-31
COMPLETED,NO,OTHER: Questionnaire,FEMALE,"ADULT, OLDER_ADULT",NA,102,OTHER,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: PREVENTION,2021-10-06,2022-02-01
ACTIVE_NOT_RECRUITING,NO,DRUG: PY159 Single agent dose level 1|DRUG: PY159 Single agent dose level 2|DRUG: PY159 Single agent dose level 3|DRUG: PY159 Single agent dose level 4|DRUG: PY159 Single agent dose level 5|DRUG: PY159 Single agent dose level 6|DRUG: PY159 Single agent dose level 7|DRUG: PY159/Pembrolizumab Combination dose level 1|DRUG: PY159/Pembrolizumab Combination dose level 2|DRUG: PY159/Pembrolizumab Combination dose level 3|DRUG: PY159/Pembrolizumab Combination dose level 4|DRUG: PY159 Single agent dose expansion cohort|DRUG: PY159/Pembrolizumab Combination dose expansion cohort 1|DRUG: PY159/Pembrolizumab Combination dose expansion cohort 2|DRUG: PY159/Pembrolizumab Combination dose expansion cohort 3|DRUG: PY159/Pembrolizumab Combination dose expansion cohort 4|DRUG: PY159/Pembrolizumab Combination dose expansion cohort 5|DRUG: PY159/Pembrolizumab Combination dose expansion cohort 6,ALL,"ADULT, OLDER_ADULT",PHASE1,343,INDUSTRY,Allocation: NON_RANDOMIZED|Intervention Model: SEQUENTIAL|Masking: NONE|Primary Purpose: TREATMENT,2020-11-10,2025-12
NOT_YET_RECRUITING,NO,DIAGNOSTIC_TEST: Dedicated breast CT(BCT),FEMALE,"ADULT, OLDER_ADULT",NA,600,OTHER,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: DIAGNOSTIC,2024-01,2027-12
NOT_YET_RECRUITING,NO,OTHER: SOCIO-AESTHETICS care,ALL,"ADULT, OLDER_ADULT",NA,400,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,2024-03,2027-04
UNKNOWN,NO,COMBINATION_PRODUCT: ImmunicomAIAC,ALL,"ADULT, OLDER_ADULT",PHASE1,30,OTHER_GOV,Allocation: NON_RANDOMIZED|Intervention Model: SEQUENTIAL|Masking: NONE|Primary Purpose: TREATMENT,2020-02-24,2022-12-30
UNKNOWN,NO,DRUG: GB491+ Fulvestrant|DRUG: Placebo+Fulvestrant,ALL,"ADULT, OLDER_ADULT",PHASE3,270,INDUSTRY,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2021-09-10,2024-01-31
NOT_YET_RECRUITING,NO,DRUG: Anlotinib,FEMALE,"ADULT, OLDER_ADULT",PHASE2,30,OTHER,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2021-10-01,2024-05-01
NOT_YET_RECRUITING,NO,DRUG: PLX038,ALL,"ADULT, OLDER_ADULT",PHASE2,44,OTHER,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2024-02-13,2026-02-15
RECRUITING,NO,DRUG: DS-1103a|DRUG: T-DXd,ALL,"ADULT, OLDER_ADULT",PHASE1,78,INDUSTRY,Allocation: NON_RANDOMIZED|Intervention Model: SEQUENTIAL|Masking: NONE|Primary Purpose: TREATMENT,2023-05-30,2026-06-30
RECRUITING,NO,DRUG: GSK4381562|DRUG: Dostarlimab|DRUG: GSK4428859A,ALL,"ADULT, OLDER_ADULT",PHASE1,162,INDUSTRY,Allocation: NON_RANDOMIZED|Intervention Model: SEQUENTIAL|Masking: NONE|Primary Purpose: TREATMENT,2022-03-22,2026-10-14
ACTIVE_NOT_RECRUITING,NO,DRUG: BI-1607|DRUG: BI-1607|DRUG: Trastuzumab,ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,18,INDUSTRY,Allocation: NON_RANDOMIZED|Intervention Model: SEQUENTIAL|Masking: NONE|Primary Purpose: TREATMENT,2022-07-28,2024-04
RECRUITING,NO,PROCEDURE: omission of SLNB,FEMALE,"ADULT, OLDER_ADULT",NA,350,OTHER,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2021-01-13,2028-01
RECRUITING,NO,DRUG: Palbociclib 125mg,FEMALE,"ADULT, OLDER_ADULT",PHASE2,46,OTHER,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2022-03-02,2031-09-01
RECRUITING,NO,DRUG: ipilimumab +pembrolizumab +durvalumab,ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,100,OTHER,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2021-11-01,2025-10-30
NOT_YET_RECRUITING,NO,OTHER: WCM app,ALL,"ADULT, OLDER_ADULT",NA,60,OTHER,Allocation: NON_RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,2024-01,2026-01
RECRUITING,NO,BEHAVIORAL: MIND Diet Intervention Group|BEHAVIORAL: General Health Curriculum (GHC) Group,FEMALE,"ADULT, OLDER_ADULT",NA,40,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: PREVENTION,2023-08-01,2025-06
NOT_YET_RECRUITING,NO,DRUG: Calendula Ointment|OTHER: Petrolatum-Mineral Oil-Lanolin-Ceresin Ointment|OTHER: Polyethylene Glycol Hydrogel|DRUG: Silicone-based Film Forming Topical Gel|DRUG: Silver Sulfadiazine|DRUG: Topical Hydrocortisone,ALL,"ADULT, OLDER_ADULT",NA,92,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: SUPPORTIVE_CARE,2024-01-01,2025-07-01
ACTIVE_NOT_RECRUITING,NO,DRUG: ZW25 (Zanidatamab)|DRUG: Palbociclib|DRUG: Fulvestrant,ALL,"ADULT, OLDER_ADULT",PHASE2,51,INDUSTRY,Allocation: NA|Intervention Model: SEQUENTIAL|Masking: NONE|Primary Purpose: TREATMENT,2020-06-10,2025-10-26
RECRUITING,NO,BEHAVIORAL: Genetic Testing and Counseling|BEHAVIORAL: Screening Form,FEMALE,"ADULT, OLDER_ADULT",NA,1000,OTHER,Allocation: NON_RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: SCREENING,2022-11-18,2027-02-02
RECRUITING,NO,DRUG: SLN mapping using technetium-99m +/- isosulfan blue dye|DEVICE: SLN mapping with ICG fluorescence using the Asimov Platform,ALL,"ADULT, OLDER_ADULT",EARLY_PHASE1,10,OTHER,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2023-04-13,2024-03
ACTIVE_NOT_RECRUITING,NO,BEHAVIORAL: Mobile phone app + patient navigation,FEMALE,"ADULT, OLDER_ADULT",NA,108,OTHER,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: OTHER",2021-05-03,2025-06
COMPLETED,NO,BEHAVIORAL: Fasting,FEMALE,"ADULT, OLDER_ADULT",NA,40,OTHER,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,2020-07-24,2022-07-05
NOT_YET_RECRUITING,NO,DRUG: LY4101174,ALL,"ADULT, OLDER_ADULT",PHASE1,280,INDUSTRY,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2024-02-29,2027-03-04
RECRUITING,NO,DRUG: ST316,ALL,"ADULT, OLDER_ADULT",PHASE1,156,INDUSTRY,Allocation: NON_RANDOMIZED|Intervention Model: SEQUENTIAL|Masking: NONE|Primary Purpose: TREATMENT,2023-06-05,2027-05-31
TERMINATED,NO,DRUG: Ribociclib,FEMALE,"ADULT, OLDER_ADULT",PHASE4,21,OTHER,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: BASIC_SCIENCE,2021-05-20,2023-10-30
RECRUITING,NO,DEVICE: Receives SCOUT at biopsy,FEMALE,"ADULT, OLDER_ADULT",NA,500,INDUSTRY,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2022-04-01,2025-03
RECRUITING,NO,DRUG: Alpelisib 150 MG Oral Tablet [Piqray]|DRUG: Fulvestrant,ALL,"ADULT, OLDER_ADULT",PHASE2,130,NETWORK,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2022-06-02,2028-03
RECRUITING,NO,DRUG: Abemaciclib|PROCEDURE: Therapeutic Conventional Surgery,FEMALE,"ADULT, OLDER_ADULT",PHASE2,200,OTHER,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2020-01-10,2024-07-31
UNKNOWN,NO,DRUG: Lymphoseek|DRUG: Nanocoll,ALL,"ADULT, OLDER_ADULT",PHASE4,30,OTHER,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: DIAGNOSTIC,2020-03,2021-08
RECRUITING,NO,DRUG: Pegylated liposomal doxorubicin|DRUG: Epirubicin|DRUG: Cyclophosphamid|DRUG: Trastuzumab|DRUG: Pertuzumab|DRUG: Docetaxel,FEMALE,"ADULT, OLDER_ADULT",NA,204,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2021-07-01,2025-09
RECRUITING,NO,"DRUG: KK-LC-1 TCR-T cells|DRUG: Aldesleukin 720,000 IU/kg IV every eight hours",ALL,"ADULT, OLDER_ADULT",PHASE1,42,OTHER,Allocation: NA|Intervention Model: SEQUENTIAL|Masking: NONE|Primary Purpose: TREATMENT,2022-09-26,2028-12-31
RECRUITING,NO,OTHER: Assessment tool IA3-CP with SDoH|OTHER: Assessment tool IA3-CP without SDoH,ALL,OLDER_ADULT,NA,35,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: HEALTH_SERVICES_RESEARCH,2024-12,2026-12
NOT_YET_RECRUITING,NO,DRUG: Sintilimab,FEMALE,ADULT,PHASE2,49,OTHER,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2021-03,2024-03
RECRUITING,NO,COMBINATION_PRODUCT: radiation combined with pyrotinib and capecitabine,FEMALE,"ADULT, OLDER_ADULT",PHASE2,362,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2022-03-01,2025-09-30
RECRUITING,NO,DRUG: AMXT1501|DRUG: DFMO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE1|PHASE2,56,INDUSTRY,Allocation: NON_RANDOMIZED|Intervention Model: SEQUENTIAL|Masking: NONE|Primary Purpose: TREATMENT,2022-11-29,2024-09-30
TERMINATED,NO,DRUG: AC682,FEMALE,"ADULT, OLDER_ADULT",PHASE1,6,INDUSTRY,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2022-10-01,2023-09-28
RECRUITING,NO,DRUG: SKB264|DRUG: KL-A167,ALL,"ADULT, OLDER_ADULT",PHASE2,175,INDUSTRY,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2022-08-17,2025-07
COMPLETED,NO,OTHER: Remedial exercise|OTHER: Compression bandage,FEMALE,"ADULT, OLDER_ADULT",NA,34,OTHER,Allocation: RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2022-11-14,2023-02-28
RECRUITING,NO,RADIATION: internal mammary nodal irradiation|RADIATION: no internal mammary nodal irradiation,FEMALE,"ADULT, OLDER_ADULT",PHASE3,2000,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2020-05-08,2024-05
NOT_YET_RECRUITING,NO,DRUG: Pyrotinib and Trastuzumab,FEMALE,"ADULT, OLDER_ADULT",NA,30,OTHER,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2023-09-20,2026-11-30
RECRUITING,NO,RADIATION: Radiation Therapy to partial breast,FEMALE,"ADULT, OLDER_ADULT",NA,380,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2023-04-03,2028-12
RECRUITING,NO,RADIATION: Locoregional radiation treatment - Conventional fractionation|RADIATION: Locoregional radiation treatment - Hypofractionation,ALL,"ADULT, OLDER_ADULT",PHASE3,588,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2021-02-10,2030-12-31
COMPLETED,NO,PROCEDURE: Manual lymphatic drainage|PROCEDURE: Manual lymphatic drainage,FEMALE,"CHILD, ADULT, OLDER_ADULT",NA,28,OTHER,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: PREVENTION",2022-03-01,2022-10-27
RECRUITING,NO,PROCEDURE: breast conservative surgery for post chemotherapy tumour size,FEMALE,ADULT,NA,1,OTHER,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2021-06-01,2024-12-01
WITHDRAWN,NO,RADIATION: Partial Chest Wall Radiation Therapy,FEMALE,"ADULT, OLDER_ADULT",EARLY_PHASE1,0,OTHER,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2022-07-15,2029-08
NOT_YET_RECRUITING,NO,DRUG: Standard endocrine therapy plus Apatinib,FEMALE,"ADULT, OLDER_ADULT",PHASE3,916,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2023-06-01,2026-06-01
WITHDRAWN,NO,DRUG: GW572016,FEMALE,"CHILD, ADULT, OLDER_ADULT",PHASE1|PHASE2,0,OTHER,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2023-07-31,2023-07-31
NOT_YET_RECRUITING,NO,DRUG: Alkaline Glucosodiene Molecules,FEMALE,ADULT,PHASE1,2,OTHER_GOV,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2024-01-01,2024-12-31
RECRUITING,NO,PROCEDURE: Biopsy|PROCEDURE: Contrast-Enhanced Mammography|OTHER: Questionnaire Administration|OTHER: Radioactive Iodine,ALL,"ADULT, OLDER_ADULT",NA,100,OTHER,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: DIAGNOSTIC,2021-04-08,2026-03-01
ACTIVE_NOT_RECRUITING,NO,OTHER: Breast Reconstruction Education and Support Tool (BREASTChoice)|OTHER: Attention Control Website|OTHER: Clinician Survey,FEMALE,"ADULT, OLDER_ADULT",NA,412,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: HEALTH_SERVICES_RESEARCH,2020-11-04,2023-06-30
