Study Status,Study Results,Interventions,Sex,Age,Phases,Enrollment,Funder Type,Study Design,Start Date,Completion Date
ACTIVE_NOT_RECRUITING,NO,BIOLOGICAL: mRNA-1273|BIOLOGICAL: Placebo|BIOLOGICAL: mRNA-1273.222,ALL,"CHILD, ADULT",PHASE2|PHASE3,4331,INDUSTRY,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: PREVENTION",2020-12-09,2024-12-09
ACTIVE_NOT_RECRUITING,NO,BIOLOGICAL: anti-SARS-Cov-2 vaccination,ALL,"ADULT, OLDER_ADULT",EARLY_PHASE1,30,OTHER,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: PREVENTION,2022-12-21,2024-03-31
UNKNOWN,NO,DRUG: Favipiravir (3200 mg + 1200 mg)|DRUG: Favipiravir (3600 mg + 1600 mg)|DRUG: Favipiravir (3200 mg + 1200 mg) combined with Hydroxychloroquine|DRUG: Favipiravir (3200 mg + 1200 mg) combined with Azithromycin|DRUG: Hydroxychloroquine|DRUG: Hydroxychloroquine combined with Azithromycin,ALL,"ADULT, OLDER_ADULT",PHASE3,1008,OTHER_GOV,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2020-05-08,2021-06-01
COMPLETED,NO,COMBINATION_PRODUCT: Cupping therapy with convential medical treatment|DRUG: Convential medical treatment,ALL,"ADULT, OLDER_ADULT",NA,76,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,2022-03-07,2023-06-01
UNKNOWN,NO,BIOLOGICAL: Novaferon|BIOLOGICAL: Placebo,ALL,"ADULT, OLDER_ADULT",PHASE3,222,INDUSTRY,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",2021-10-28,2022-06
UNKNOWN,NO,DRUG: Hydroxychloroquine Sulfate 200 MG|OTHER: Placebo,ALL,ADULT,PHASE2,200,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: PREVENTION,2020-05-01,2020-09-25
COMPLETED,NO,BIOLOGICAL: NBP2001 adjuvanted with alum (RBD 30μg/dose)|BIOLOGICAL: NBP2001 adjuvanted with alum (RBD 50μg/dose)|OTHER: Normal Saline,ALL,ADULT,PHASE1,50,INDUSTRY,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: PREVENTION",2020-12-17,2022-03-02
UNKNOWN,NO,BIOLOGICAL: Covid-19 vaccine (0-1-4 schedule)|BIOLOGICAL: Covid-19 vaccine (0-1-6 schedule),ALL,"ADULT, OLDER_ADULT",PHASE4,1440,INDUSTRY,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: PREVENTION,2021-11,2022-12
UNKNOWN,NO,DRUG: PD-1 blocking antibody+standard treatment|DRUG: Thymosin+standard treatment|OTHER: standard treatment,ALL,"ADULT, OLDER_ADULT",PHASE2,120,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: TREATMENT,2020-02-10,2020-10-31
WITHDRAWN,NO,"DRUG: NT-I7|DRUG: Placebo|PROCEDURE: Blood for research purposes|PROCEDURE: Blood for pharmacokinetic samples|PROCEDURE: Nasopharyngeal, oropharyngeal, or saliva swab|PROCEDURE: Blood for anti-drug antibody (ADA)",ALL,"ADULT, OLDER_ADULT",PHASE1,0,OTHER,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR)|Primary Purpose: TREATMENT",2021-07-31,2022-04-30
ACTIVE_NOT_RECRUITING,NO,DRUG: Niclosamide|DRUG: Placebo,ALL,"ADULT, OLDER_ADULT",PHASE2,166,INDUSTRY,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2021-04-30,2023-05
NOT_YET_RECRUITING,NO,BIOLOGICAL: AdCLD-CoV19-1 OMI|BIOLOGICAL: Comirnaty Bivalent 0.1mg/mL (tozinameran and riltozinameran),ALL,"ADULT, OLDER_ADULT",PHASE3,4000,INDUSTRY,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR)|Primary Purpose: PREVENTION",2023-09,2025-05
TERMINATED,YES,DRUG: TNKase|DRUG: Placebo|DRUG: Enoxaparin,ALL,"ADULT, OLDER_ADULT",PHASE4,2,OTHER,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2020-09-08,2021-08-08
COMPLETED,NO,BEHAVIORAL: Strength RMT|BEHAVIORAL: Strength RMT and nasal breathing|BEHAVIORAL: Endurance RMT|BEHAVIORAL: Endurance RMT and nasal breathing|BEHAVIORAL: Low dose RMT,ALL,"ADULT, OLDER_ADULT",NA,2268,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: BASIC_SCIENCE,2021-11-01,2023-07-01
COMPLETED,NO,BIOLOGICAL: SARS-CoV-2 recombinant spike protein + Advax-SM adjuvant|BIOLOGICAL: Saline placebo,ALL,"ADULT, OLDER_ADULT",PHASE3,300,INDUSTRY,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: PREVENTION",2021-12-15,2022-06-20
COMPLETED,YES,DRUG: Hydroxychloroquine,ALL,"ADULT, OLDER_ADULT",PHASE2,221,OTHER,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: PREVENTION,2020-04-03,2020-06-30
COMPLETED,NO,OTHER: CHX0.12+CPC0.05 oral rinse (PerioAidActive Control)|OTHER: placebo rinse,ALL,"ADULT, OLDER_ADULT",NA,23,INDUSTRY,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: OTHER,2020-06-18,2020-10-23
COMPLETED,NO,"DIAGNOSTIC_TEST: BinaxNOW Test|DIAGNOSTIC_TEST: ""Lollipop"" swab",ALL,"CHILD, ADULT, OLDER_ADULT",NA,100,OTHER,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: DIAGNOSTIC,2021-10-11,2023-05-21
RECRUITING,NO,DRUG: Jinzhen oral liquid or Jinhuaqinggan granules,ALL,"CHILD, ADULT",NA,240,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2022-03-18,2023-03-17
WITHDRAWN,NO,COMBINATION_PRODUCT: Hyperbaric oxygen therapy,ALL,"ADULT, OLDER_ADULT",PHASE2,0,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2021-11-08,2023-12-31
COMPLETED,NO,DIAGNOSTIC_TEST: Data collection and rhinopharyngeal swab,ALL,CHILD,NA,605,OTHER,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: DIAGNOSTIC,2020-04-14,2020-06-01
COMPLETED,NO,OTHER: Circuit Training Exercise Program|OTHER: Aerobic Training Exercise Program,ALL,ADULT,NA,60,OTHER,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2022-04-01,2022-12-01
COMPLETED,NO,DEVICE: Inogen One® G4,ALL,"ADULT, OLDER_ADULT",NA,21,INDUSTRY,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: NONE|Primary Purpose: TREATMENT,2022-06-08,2023-03-02
WITHDRAWN,NO,DRUG: RESP301 (a nitric oxide generating solution)|DRUG: Standard of Care (SOC),ALL,"ADULT, OLDER_ADULT",PHASE2|PHASE3,0,INDUSTRY,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: PREVENTION,2021-09,2022-01
RECRUITING,NO,DEVICE: surgical mask (5 different types),ALL,"ADULT, OLDER_ADULT",NA,50,OTHER,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: OTHER,2023-02-06,2023-10-30
UNKNOWN,NO,BIOLOGICAL: Vaxzevria|BIOLOGICAL: Comirnaty,ALL,"ADULT, OLDER_ADULT",PHASE2,3000,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: PREVENTION,2021-05-10,2021-12-30
UNKNOWN,NO,BIOLOGICAL: ChAdOx1 nCoV-19 single dose + paracetamol|BIOLOGICAL: MenACWY single dose + paracetamol|BIOLOGICAL: ChAdOx1 nCoV-19 two dose + paracetamol|BIOLOGICAL: MenACWY prime & saline placebo boost + paracetamol,ALL,"ADULT, OLDER_ADULT",PHASE3,10300,OTHER,Allocation: RANDOMIZED|Intervention Model: SEQUENTIAL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: PREVENTION,2020-06-02,2021-09
UNKNOWN,NO,DRUG: Cholecalciferol,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE4,80,OTHER,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2020-04-04,2020-12-30
ACTIVE_NOT_RECRUITING,NO,BEHAVIORAL: Positive Affect Regulation sKills (PARK),ALL,"ADULT, OLDER_ADULT",NA,555,OTHER,Allocation: RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2021-12-01,2024-03-31
ACTIVE_NOT_RECRUITING,NO,BEHAVIORAL: Rehabilitation based on CBT principles,ALL,"CHILD, ADULT, OLDER_ADULT",NA,310,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: SUPPORTIVE_CARE,2022-02-21,2024-03-31
NOT_YET_RECRUITING,NO,DRUG: Ensitrelvir|OTHER: Placebo,ALL,"ADULT, OLDER_ADULT",PHASE2,40,OTHER,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2024-01-01,2025-12-31
UNKNOWN,NO,BIOLOGICAL: Sputnik Light,ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,110,OTHER,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: PREVENTION,2021-01-15,2021-07-31
UNKNOWN,NO,DRUG: JS016,ALL,"ADULT, OLDER_ADULT",PHASE2,200,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: TREATMENT,2021-01-20,2022-12-31
RECRUITING,NO,DEVICE: COVIDReApp Group|OTHER: Control Group,ALL,"ADULT, OLDER_ADULT",NA,100,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,2023-03-15,2024-09-15
WITHDRAWN,NO,BIOLOGICAL: Convalescent Plasma,ALL,"ADULT, OLDER_ADULT",PHASE2,0,OTHER,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: BASIC_SCIENCE,2020-04-01,2022-12-31
ACTIVE_NOT_RECRUITING,NO,DRUG: SNO|DRUG: Nitrogen gas,ALL,"ADULT, OLDER_ADULT",EARLY_PHASE1,24,OTHER,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2021-08-05,2025-04-30
COMPLETED,YES,DRUG: EIDD-2801|DRUG: Placebo,ALL,"ADULT, OLDER_ADULT",PHASE2,71,INDUSTRY,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",2020-06-16,2022-02-21
UNKNOWN,NO,BIOLOGICAL: Gam-COVID-Vac|BIOLOGICAL: Placebo,ALL,"ADULT, OLDER_ADULT",PHASE3,2000,OTHER,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: PREVENTION",2020-11,2021-12
RECRUITING,NO,BEHAVIORAL: Self-Affirmation Implementation Intentions (SAII) Intervention|BEHAVIORAL: Promotores de Salud (Health Education),ALL,"ADULT, OLDER_ADULT",NA,400,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: PREVENTION,2023-04-22,2024-10-31
SUSPENDED,NO,DEVICE: vv-ECMO + cytokine adsorption (Cytosorb adsorber)|DEVICE: vv-ECMO only (no cytokine adsorption),ALL,"ADULT, OLDER_ADULT",NA,80,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2020-09-01,2021-10-31
ACTIVE_NOT_RECRUITING,NO,DRUG: SOC,ALL,"ADULT, OLDER_ADULT",NA,66,INDUSTRY,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (INVESTIGATOR)|Primary Purpose: SUPPORTIVE_CARE,2023-01-19,2023-11-30
NOT_YET_RECRUITING,NO,DEVICE: VR Headset|OTHER: Traditional Theatre-based simulation,ALL,"CHILD, ADULT, OLDER_ADULT",NA,45,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: OTHER,2023-07,2025-12
UNKNOWN,NO,OTHER: Water (E) Mouth rinse with the solution provided|OTHER: Chlorhexidine gluconate (A) Mouth rinse with the solution provided|OTHER: Hydrogen peroxide (B) Mouth rinse with the solution provided|OTHER: Betadine (C) Mouth rinse with the solution provided|OTHER: Alcohol mouthwash (Listerine) (D) Mouth rinse with the solution provided,ALL,"ADULT, OLDER_ADULT",NA,60,OTHER,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, OUTCOMES_ASSESSOR)|Primary Purpose: PREVENTION",2020-10-06,2023-12
NOT_YET_RECRUITING,NO,BIOLOGICAL: BBIBP-CorV - Inactivated SARS-CoV-2 vaccine (Vero cell)|BIOLOGICAL: influenza season quadrivalent Influenza Vaccine (Flu Quadrivalent),ALL,"ADULT, OLDER_ADULT",PHASE3,8825,OTHER,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR)|Primary Purpose: PREVENTION",2021-10-01,2024-09-30
RECRUITING,NO,COMBINATION_PRODUCT: Shampoo and saline|COMBINATION_PRODUCT: Saline and Listerine|COMBINATION_PRODUCT: Shampoo and Listerine|COMBINATION_PRODUCT: Saline and Saline,ALL,"ADULT, OLDER_ADULT",PHASE2|PHASE3,200,OTHER,Allocation: RANDOMIZED|Intervention Model: FACTORIAL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,2021-10-01,2025-05-30
ACTIVE_NOT_RECRUITING,NO,DRUG: AER002|OTHER: Placebo,ALL,"ADULT, OLDER_ADULT",PHASE2,30,OTHER,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",2023-08-01,2025-07-31
COMPLETED,NO,DRUG: Poly-ICLC (Hiltonol®) or Placebo|DRUG: Poly-ICLC (Hiltonol®) or Placebo,ALL,"ADULT, OLDER_ADULT",PHASE1,43,INDUSTRY,"Allocation: RANDOMIZED|Intervention Model: SEQUENTIAL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: PREVENTION",2021-07-21,2023-04-01
COMPLETED,YES,BIOLOGICAL: CoV2 preS dTM-AF03 (low-dose)|BIOLOGICAL: CoV2 preS dTM-AF03 (high-dose)|BIOLOGICAL: CoV2 preS dTM-AS03 (low-dose)|BIOLOGICAL: CoV2 preS dTM-AS03 (high-dose)|BIOLOGICAL: CoV2 preS dTM (high-dose) without adjuvant|BIOLOGICAL: Placebo (0.9% normal saline),ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,441,INDUSTRY,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: PREVENTION",2020-09-03,2021-11-19
NOT_YET_RECRUITING,NO,DEVICE: Acupuncture|DEVICE: Sham-acupuncture,ALL,"ADULT, OLDER_ADULT",NA,150,OTHER,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, CARE_PROVIDER, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2023-06-30,2025-04-30
RECRUITING,NO,BEHAVIORAL: CBT/ACT,ALL,"ADULT, OLDER_ADULT",NA,40,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2021-11-01,2025-11-15
COMPLETED,NO,BIOLOGICAL: Experimental Group,ALL,CHILD,PHASE4,31041,INDUSTRY,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: PREVENTION,2021-07-24,2023-08-31
COMPLETED,NO,DRUG: glenzocimab|DRUG: Placebo,ALL,"ADULT, OLDER_ADULT",PHASE2,60,INDUSTRY,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR)|Primary Purpose: TREATMENT",2020-12-16,2021-08-06
COMPLETED,NO,OTHER: Balneotherapy and aquatic exercises,ALL,"ADULT, OLDER_ADULT",NA,98,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,2022-03-29,2023-01-31
COMPLETED,YES,DRUG: CT-P59|DRUG: Placebo,ALL,ADULT,PHASE1,32,INDUSTRY,"Allocation: RANDOMIZED|Intervention Model: SEQUENTIAL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: SCREENING",2020-07-18,2020-11-05
COMPLETED,NO,DRUG: HH-120 nasal spray 1|DRUG: HH-120 nasal spray 2|DRUG: Placebo Comparator 1|DRUG: Placebo Comparator 2,ALL,"ADULT, OLDER_ADULT",NA,281,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: PREVENTION,2022-10-20,2022-12-06
RECRUITING,NO,DIAGNOSTIC_TEST: Levels of inflammatory cytokine ( IL-6) in post-COVID-19 POTS and controls|DIAGNOSTIC_TEST: Levels of inflammatory cytokine ( IL-6) in controls|DIAGNOSTIC_TEST: Effect on inflammation after chronic PNS stimulation,ALL,"ADULT, OLDER_ADULT",NA,60,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: DIAGNOSTIC,2022-06-01,2026-07-01
COMPLETED,NO,DRUG: hydroxychloroquine|DRUG: azithromycin|DRUG: hydroxychloroquine placebo,ALL,"ADULT, OLDER_ADULT",PHASE3,122,OTHER,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: PREVENTION",2020-04-17,2020-06-18
ACTIVE_NOT_RECRUITING,NO,BEHAVIORAL: Breathing and Wellness Webinar|OTHER: Routine Daily Activity,ALL,"ADULT, OLDER_ADULT",NA,189,OTHER,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,2021-09-15,2024-03-31
RECRUITING,NO,DEVICE: RDX-19,ALL,"ADULT, OLDER_ADULT",NA,60,INDUSTRY,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2023-10-30,2024-03-30
COMPLETED,NO,BIOLOGICAL: SARS-CoV-2 convalescent plasma|OTHER: Standard of care,ALL,"ADULT, OLDER_ADULT",PHASE2|PHASE3,59,OTHER,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2020-12-03,2022-01-26
TERMINATED,NO,DRUG: Tocilizumab (TCZ)|DRUG: Placebo,ALL,"ADULT, OLDER_ADULT",PHASE2,5,OTHER,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2020-04-26,2020-09-27
